event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days,time_since_last_event_sec,time_since_last_login_sec,time_since_last_deposit_sec,roll_3_trade_vol_mean,roll_3_trade_vol_std,roll_3_pnl_mean,roll_10_trade_vol_mean,roll_10_trade_vol_std,roll_10_pnl_mean,roll_3_click_rate_mean,roll_10_click_rate_mean,burst_count_5min,burst_count_30min,unique_ips_last_10_logins,unique_countries_last_10_logins,unique_devices_last_10_logins,rolling_failed_attempts_5,roll_5_deposit_sum,withdrawal_to_deposit_ratio,trade_vol_zscore,pnl_zscore,amount_zscore,session_duration_zscore
EVT_286291,USER_0000,withdrawal,2024-01-05 03:13:08,3,4,0,1,wash_trader,,,,,,,,,,,,,,,2031.45,crypto,0.0,,,,,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2031450000000.0,0.0,0.0,-1.3040908058678842,0.0
EVT_467230,USER_0000,trade,2024-01-05 20:16:48,20,4,0,1,wash_trader,,,,,,,GBPUSD,1.88,12168.79,-397.13,334.13,1306.0,1.026,1.0,,,,,,,,107,61420.0,0.0,0.0,12168.79,0.0,-397.13,12168.79,0.0,-397.13,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0825710904570387,-1.1994461777607137,0.0,0.0
EVT_605608,USER_0000,session,2024-01-06 20:13:04,20,5,1,1,wash_trader,,,safari_mac,,,,,,,,,,,,,,,24.2,63.0,2.6,,108,86176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23957563448385877
EVT_298074,USER_0000,trade,2024-01-07 08:03:49,8,6,1,1,wash_trader,,,,,,,GBPUSD,1.32,11824.31,98.35,4166.79,769.0,0.997,0.0,,,,,,,,108,42645.0,0.0,0.0,11996.55,243.5841439831422,-149.39,11996.55,243.5841439831422,-149.39,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0862512344189619,-0.9314762790599936,0.0,0.0
EVT_139280,USER_0000,login,2024-01-07 10:19:22,10,6,1,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,108,8133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_796069,USER_0000,login,2024-01-08 05:19:51,5,0,0,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,109,68429.0,68429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_682753,USER_0000,trade,2024-01-08 06:27:39,6,0,0,1,wash_trader,,,,,,,GBPUSD,1.24,9282.36,191.46,2539.56,3040.0,0.783,0.0,,,,,,,,109,4068.0,4068.0,0.0,11091.82,1576.4757328611176,-35.77333333333333,11091.82,1576.4757328611176,-35.77333333333333,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.1134073594306027,-0.8811197010588149,0.0,0.0
EVT_447919,USER_0000,login,2024-01-08 12:27:38,12,0,0,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,109,21599.0,25667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_407908,USER_0000,session,2024-01-13 19:15:14,19,5,1,1,wash_trader,,,safari_mac,,,,,,,,,,,,,,,35.9,30.0,0.84,,114,456456.0,456456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.72,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6563716013256401
EVT_404265,USER_0000,login,2024-01-18 14:30:07,14,3,0,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,119,414893.0,871349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
