event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days
EVT_760229,USER_0338,session,2024-01-01 00:08:08,0,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,57.1,36.0,0.63,,4
EVT_506388,USER_0508,kyc_change,2024-01-01 00:17:14,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,214
EVT_746327,USER_0157,deposit,2024-01-01 00:27:34,0,0,0,0,none,,,,,,,,,,,,,,,1900.78,card,0.0,,,,,185
EVT_595000,USER_0018,deposit,2024-01-01 00:36:10,0,0,0,1,brute_forcer,,,,,,,,,,,,,,,384.16,card,0.0,,,,,337
EVT_273495,USER_0181,session,2024-01-01 01:03:37,1,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,12.7,16.0,1.26,,203
EVT_917507,USER_0232,trade,2024-01-01 01:05:46,1,0,0,0,none,,,,,,,BTCUSD,0.37,22883.69,-238.89,4489.75,2695.0,0.792,1.0,,,,,,,,102
EVT_526947,USER_0467,trade,2024-01-01 01:09:13,1,0,0,0,none,,,,,,,AUDUSD,1.87,6667.99,-301.71,3422.8,1527.0,1.115,1.0,,,,,,,,209
EVT_880931,USER_0041,login,2024-01-01 01:14:55,1,0,0,1,dormant_withdrawer,10.35.142.1,NG,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,320
EVT_655161,USER_0099,trade,2024-01-01 01:29:54,1,0,0,0,none,,,,,,,USDCHF,1.76,29254.99,182.43,4447.64,1504.0,1.095,1.0,,,,,,,,25
EVT_295283,USER_0536,trade,2024-01-01 01:31:31,1,0,0,0,none,,,,,,,USDCHF,0.11,3349.41,-29.3,2985.82,552.0,1.508,0.0,,,,,,,,165
EVT_881320,USER_0034,trade,2024-01-01 01:36:08,1,0,0,1,device_switcher,,,,,,,ETHUSD,1.49,4036.61,-91.65,4032.26,1108.0,1.277,0.0,,,,,,,,235
EVT_310141,USER_0471,deposit,2024-01-01 01:57:53,1,0,0,0,none,,,,,,,,,,,,,,,2925.89,card,0.0,,,,,27
EVT_220098,USER_0129,session,2024-01-01 02:33:25,2,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,23.6,61.0,2.58,,36
EVT_573980,USER_0008,withdrawal,2024-01-01 02:50:56,2,0,0,1,wash_trader,,,,,,,,,,,,,,,56.35,crypto,0.0,,,,,211
EVT_140908,USER_0032,trade,2024-01-01 03:00:11,3,0,0,1,structurer,,,,,,,BTCUSD,0.97,8561.17,-241.22,2350.26,3507.0,0.936,0.0,,,,,,,,320
EVT_889621,USER_0345,kyc_change,2024-01-01 03:01:45,3,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,338
EVT_994292,USER_0178,trade,2024-01-01 03:19:06,3,0,0,0,none,,,,,,,USDJPY,0.43,1920.36,-398.8,4074.67,2798.0,1.086,0.0,,,,,,,,152
EVT_778096,USER_0011,login,2024-01-01 03:21:55,3,0,0,1,dormant_withdrawer,10.197.195.1,BR,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,100
EVT_570567,USER_0336,login,2024-01-01 03:25:53,3,0,0,0,none,10.32.203.1,SG,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,260
EVT_880124,USER_0098,trade,2024-01-01 03:38:38,3,0,0,0,none,,,,,,,USDCHF,1.32,18316.77,58.42,4635.49,3491.0,0.831,1.0,,,,,,,,57
EVT_153930,USER_0485,trade,2024-01-01 03:58:15,3,0,0,0,none,,,,,,,USDCHF,0.5,16970.27,-176.18,1133.55,2663.0,0.838,1.0,,,,,,,,324
EVT_272697,USER_0061,login,2024-01-01 04:18:06,4,0,0,1,ip_hopper,10.126.102.1,IN,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,316
EVT_587602,USER_0454,trade,2024-01-01 04:22:58,4,0,0,0,none,,,,,,,EURUSD,1.7,7230.27,263.21,1706.65,2544.0,0.848,0.0,,,,,,,,278
EVT_261098,USER_0285,session,2024-01-01 04:29:19,4,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,17.4,27.0,1.55,,6
EVT_278917,USER_0336,kyc_change,2024-01-01 04:35:56,4,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,260
EVT_237994,USER_0276,deposit,2024-01-01 04:36:39,4,0,0,0,none,,,,,,,,,,,,,,,1613.96,crypto,0.0,,,,,115
EVT_130194,USER_0538,deposit,2024-01-01 04:38:27,4,0,0,0,none,,,,,,,,,,,,,,,1959.31,crypto,0.0,,,,,178
EVT_736756,USER_0194,trade,2024-01-01 04:38:28,4,0,0,0,none,,,,,,,USDJPY,0.79,17740.03,-191.59,746.07,1857.0,0.779,0.0,,,,,,,,101
EVT_480931,USER_0076,login,2024-01-01 04:41:56,4,0,0,1,device_switcher,172.16.2.1,JP,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,142
EVT_122731,USER_0063,login,2024-01-01 04:48:14,4,0,0,1,deposit_withdrawal_cycler,10.55.13.1,AE,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,288
EVT_216368,USER_0525,trade,2024-01-01 04:53:49,4,0,0,0,none,,,,,,,BTCUSD,0.68,24061.25,29.1,2433.15,3009.0,0.913,0.0,,,,,,,,170
EVT_300289,USER_0326,login,2024-01-01 05:11:08,5,0,0,0,none,10.57.58.1,AE,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,85
EVT_996385,USER_0477,kyc_change,2024-01-01 05:11:23,5,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,57
EVT_179802,USER_0406,trade,2024-01-01 05:14:37,5,0,0,0,none,,,,,,,AUDUSD,0.8,3720.74,120.74,436.88,1856.0,0.806,1.0,,,,,,,,302
EVT_707510,USER_0316,withdrawal,2024-01-01 05:43:33,5,0,0,0,none,,,,,,,,,,,,,,,712.49,bank,0.0,,,,,73
EVT_930778,USER_0298,trade,2024-01-01 05:57:04,5,0,0,0,none,,,,,,,XAUUSD,0.67,23887.71,65.47,4161.87,1398.0,1.173,1.0,,,,,,,,122
EVT_785984,USER_0382,trade,2024-01-01 06:01:13,6,0,0,0,none,,,,,,,EURUSD,1.37,2152.06,-29.99,1985.91,2830.0,1.091,1.0,,,,,,,,186
EVT_909047,USER_0345,login,2024-01-01 06:22:42,6,0,0,0,none,10.188.153.1,UK,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,338
